cantidad_nodos,cantidad_aristas,t_con_fib,t_con_heap
10,21,0.130269,3.1e-08
10,21,0.131057,3.3e-08
10,21,0.127661,2e-08
10,21,0.129552,2.4e-08
10,21,0.132655,3.3e-08
10,21,0.128934,2.7e-08
10,21,0.130652,3e-08
10,21,0.127502,2.6e-08
10,21,0.133354,2e-08
10,21,0.1286,2.8e-08
10,21,0.128736,2.7e-08
10,21,0.12713,4.1e-08
10,21,0.134353,3.3e-08
10,21,0.129026,2e-08
10,21,0.134119,1.8e-08
10,21,0.126659,4.8e-08
10,21,0.132093,3e-08
10,21,0.126384,4.2e-08
10,21,0.129943,3.2e-08
10,21,0.132361,2.7e-08
10,22,0.258125,1.8e-08
10,22,0.258578,2e-08
10,22,0.257657,3.2e-08
10,22,0.255828,2.7e-08
10,22,0.257574,2.1e-08
10,22,0.272382,4e-08
10,22,0.271219,2.8e-08
10,22,0.302586,4.7e-08
10,22,0.299342,3.1e-08
10,22,0.285423,3.7e-08
10,22,0.279876,2e-08
10,22,0.3036,3.6e-08
10,22,0.272865,2.9e-08
10,22,0.27112,3.4e-08
10,22,0.278303,3.7e-08
10,22,0.278854,4.3e-08
10,22,0.286785,2e-08
10,22,0.274208,3.5e-08
10,22,0.279449,2.2e-08
10,22,0.275639,2.9e-08
10,22,0.279326,2.1e-08
10,22,0.271818,3.6e-08
10,22,0.266083,1.9e-08
10,22,0.284709,3.7e-08
10,22,0.270021,2e-08
10,22,0.279075,4.2e-08
10,22,0.272687,2e-08
10,22,0.277176,2.8e-08
10,22,0.277753,2.8e-08
10,22,0.282257,2.9e-08
10,22,0.284683,3.1e-08
10,22,0.281657,3e-08
10,22,0.279478,3.8e-08
10,22,0.334216,3.8e-08
10,22,0.286264,2.3e-08
10,22,0.276989,2e-08
10,22,0.294327,4e-08
10,22,0.277551,5.4e-08
10,22,0.269926,2.2e-08
10,22,0.277896,2.9e-08
10,22,0.304045,3e-08
10,22,0.290862,4e-08
10,22,0.276988,5e-08
10,22,0.291771,3e-08
10,22,0.301203,4.2e-08
10,22,0.282679,2.1e-08
10,22,0.276134,2.9e-08
10,22,0.277913,2.9e-08
10,22,0.279596,3.3e-08
